estabelecimento_codigo_ibge_municipio,data_aplicacao,n,uf,n_7mean
1100015,2021-01-20,16,RO,
1100015,2021-01-22,59,RO,
1100015,2021-01-23,29,RO,
1100015,2021-01-24,45,RO,
1100015,2021-01-25,1,RO,
1100015,2021-01-26,17,RO,
1100015,2021-01-27,43,RO,30
1100015,2021-01-28,35,RO,32.7142857142857
1100015,2021-01-29,18,RO,26.8571428571429
1100015,2021-02-01,22,RO,25.8571428571429
1100015,2021-02-02,4,RO,20
1100015,2021-02-03,17,RO,22.2857142857143
1100015,2021-02-04,33,RO,24.5714285714286
1100015,2021-02-05,56,RO,26.4285714285714
1100015,2021-02-06,29,RO,25.5714285714286
1100015,2021-02-08,15,RO,25.1428571428571
1100015,2021-02-09,11,RO,23.5714285714286
1100015,2021-02-10,12,RO,24.7142857142857
1100023,2021-01-21,135,RO,
1100023,2021-01-22,157,RO,
1100023,2021-01-23,47,RO,
1100023,2021-01-24,36,RO,
1100023,2021-01-25,79,RO,
1100023,2021-01-26,52,RO,
1100023,2021-01-27,112,RO,88.2857142857143
1100023,2021-01-28,55,RO,76.8571428571429
1100023,2021-01-29,13,RO,56.2857142857143
1100023,2021-01-30,3,RO,50
1100023,2021-01-31,37,RO,50.1428571428572
1100023,2021-02-01,65,RO,48.1428571428572
1100023,2021-02-02,21,RO,43.7142857142857
1100023,2021-02-03,56,RO,35.7142857142857
1100023,2021-02-04,20,RO,30.7142857142857
1100023,2021-02-05,17,RO,31.2857142857143
1100023,2021-02-08,16,RO,33.1428571428572
1100023,2021-02-09,62,RO,36.7142857142857
1100023,2021-02-10,129,RO,45.8571428571429
1100023,2021-02-11,101,RO,57.2857142857143
1100023,2021-02-12,12,RO,51
1100031,2021-01-21,25,RO,
1100031,2021-01-22,5,RO,
1100031,2021-01-25,7,RO,
1100031,2021-01-26,9,RO,
1100031,2021-01-28,12,RO,
1100031,2021-01-29,1,RO,
1100031,2021-02-01,1,RO,8.57142857142857
1100031,2021-02-02,10,RO,6.42857142857143
1100049,2021-01-19,25,RO,
1100049,2021-01-20,244,RO,
1100049,2021-01-21,439,RO,
1100049,2021-01-22,157,RO,
1100049,2021-01-23,8,RO,
1100049,2021-01-25,15,RO,
1100049,2021-01-26,51,RO,134.142857142857
1100049,2021-01-27,133,RO,149.571428571429
1100049,2021-01-28,90,RO,127.571428571429
1100049,2021-01-29,406,RO,122.857142857143
1100049,2021-01-30,72,RO,110.714285714286
1100049,2021-01-31,11,RO,111.142857142857
1100049,2021-02-01,334,RO,156.714285714286
1100049,2021-02-02,230,RO,182.285714285714
1100049,2021-02-03,49,RO,170.285714285714
1100049,2021-02-04,168,RO,181.428571428571
