estabelecimento_codigo_ibge_municipio,paciente_grupo,n,uf
1100015,Povos e Comunidades Tradicionais,1,RO
1100015,Povos Indígenas,193,RO
1100015,Trabalhadores de Saúde,268,RO
1100023,Faixa Etária,299,RO
1100023,Pessoas de 60 anos ou mais institucionalizadas,18,RO
1100023,Trabalhadores de Saúde,908,RO
1100031,Trabalhadores de Saúde,70,RO
1100049,Faixa Etária,80,RO
1100049,Pessoas de 60 anos ou mais institucionalizadas,44,RO
1100049,Povos Indígenas,572,RO
1100049,Trabalhadores de Saúde,1948,RO
1100056,Faixa Etária,44,RO
1100056,Pessoas de 60 anos ou mais institucionalizadas,4,RO
1100056,Trabalhadores de Saúde,193,RO
1100072,Trabalhadores de Saúde,70,RO
1100080,Faixa Etária,31,RO
1100080,Trabalhadores de Saúde,67,RO
1100098,Faixa Etária,21,RO
1100098,Pessoas de 60 anos ou mais institucionalizadas,30,RO
1100098,Povos Indígenas,52,RO
1100098,Trabalhadores de Saúde,179,RO
1100106,Faixa Etária,120,RO
1100106,Pessoas com Deficiência,17,RO
1100106,Povos Indígenas,952,RO
1100106,Trabalhadores de Saúde,274,RO
1100114,Faixa Etária,14,RO
1100114,Povos Indígenas,15,RO
1100114,Trabalhadores de Saúde,280,RO
1100122,Faixa Etária,448,RO
1100122,Pessoas de 60 anos ou mais institucionalizadas,61,RO
1100122,Povos Indígenas,114,RO
1100122,Trabalhadores de Saúde,919,RO
1100130,Faixa Etária,36,RO
1100130,Pessoas com Deficiência,3,RO
1100130,Trabalhadores de Saúde,179,RO
1100148,Trabalhadores de Saúde,58,RO
1100155,Faixa Etária,81,RO
1100155,Pessoas de 60 anos ou mais institucionalizadas,20,RO
1100155,Trabalhadores de Saúde,428,RO
1100189,Faixa Etária,173,RO
1100189,Trabalhadores de Saúde,376,RO
1100205,Comorbidades,2,RO
1100205,Faixa Etária,3398,RO
1100205,Funcionário do Sistema de Privação de Liberdade,6,RO
1100205,Pessoas de 60 anos ou mais institucionalizadas,82,RO
1100205,População Privada de Liberdade,1,RO
1100205,Povos Indígenas,113,RO
1100205,Trabalhadores de Saúde,7986,RO
1100254,Faixa Etária,86,RO
1100254,Funcionário do Sistema de Privação de Liberdade,1,RO
1100254,Trabalhadores de Saúde,201,RO
1100262,Faixa Etária,13,RO
1100262,Trabalhadores de Saúde,47,RO
1100288,Trabalhadores de Saúde,2,RO
1100296,Trabalhadores de Saúde,101,RO
1100304,Faixa Etária,22,RO
1100304,Pessoas de 60 anos ou mais institucionalizadas,53,RO
1100304,Povos Indígenas,258,RO
1100304,Trabalhadores de Saúde,1345,RO
1100338,Faixa Etária,44,RO
1100338,Pessoas com Deficiência,3,RO
1100338,Trabalhadores de Saúde,243,RO
1100346,Faixa Etária,7,RO
1100346,Trabalhadores de Saúde,1,RO
1100379,Trabalhadores de Saúde,111,RO
1100403,Faixa Etária,73,RO
1100403,Trabalhadores de Saúde,158,RO
1100452,Trabalhadores de Saúde,387,RO
1100502,Faixa Etária,42,RO
1100502,Trabalhadores de Saúde,89,RO
1100601,Faixa Etária,29,RO
1100601,Trabalhadores de Saúde,64,RO
1100700,Trabalhadores de Saúde,84,RO
1100809,Faixa Etária,85,RO
1100809,Trabalhadores de Saúde,191,RO
1100908,Trabalhadores de Saúde,58,RO
1100924,Faixa Etária,13,RO
1100924,Trabalhadores de Saúde,108,RO
1100940,Trabalhadores de Saúde,99,RO
1101005,Faixa Etária,92,RO
1101005,Trabalhadores de Saúde,97,RO
1101104,Faixa Etária,28,RO
1101104,Trabalhadores de Saúde,232,RO
1101203,Povos Indígenas,23,RO
1101203,Trabalhadores de Saúde,68,RO
